id,category,subcategory,arabic,targetLanguage,originalText,arabicTranslation,literalTranslation,arabicPronunciation,country,region,dialect,register,audience,gender,ageGroup,situation,tone,formality,familiarity,frequency,culturalNotes,usageNotes,alternatives,relatedPhrases,confidence,sources,noDirectArabic
TR001,B ترحيب,ترحيب عام,يا هلا وسهلا,tr,Hoş geldiniz,أهلًا وسهلًا / مرحبًا بقدومكم,جئتم طيبين,هوش گِلدينيز,تركيا,عام,تركية معيارية يومية,محترم وودود,الجميع,الجميع,الجميع,ترحيب عند الدخول,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,يُكرر كثيرًا. للمفرد القريب: Hoş geldin. رد الزبون: Hoş bulduk.,أول جملة بعد دخول الزبون.,"Merhaba, hoş geldiniz","TR002,TR003",عالية,T1 T2,no
TR002,B ترحيب,دعوة,تفضل,tr,Buyurun,تفضل / ادخل / خذ,تفضّلوا,بويورون,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,دعوة الدخول أو الأخذ,ودود,شعبي,منخفضة,🔥 شائعة جدًا,أوسع من تفضل العربية: ادخل، خذ، اجلس، تكلم.,,Buyurun bakın,,عالية,T1 T5,no
TR003,K وداع/علاقة,رد ترحيب,(لا مقابل مباشر),tr,Hoş bulduk,وجدنا الترحيب طيبًا,وجدنا طيبًا,هوش بولْدوك,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,رد الزبون على Hoş geldiniz,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,إلزام اجتماعي بعد الترحيب. يقوله الزبون لا البائع.,,,,عالية,T2,yes
TR004,A جذب,نداء,تعال شوف,tr,Buyurun bakın,تفضل انظر,,بويورون باقِن,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,جذب عند الباب أو البسطة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Bir bakın isterseniz|Gel gel,,عالية,T1,no
TR005,A جذب,نداء شعبي,تعال تعال,tr,Gel gel!,تعال تعال,,گِل گِل,تركيا,عام,,شعبي,مارّ في السوق,الجميع,الجميع,بسطة/بازار,ودود,شعبي,منخفضة,🔥 شائعة جدًا,ثقيل في محل راقٍ أو مول.,,,,عالية,T2,no
TR006,A جذب,بلا التزام,بس شوف ما بتخسر شيء,tr,"Bir bakın, belki hoşunuza gider",شوف، يمكن يعجبك,,بير باقِن، بلكى هوشونوزا گيدر,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,جذب بالفضول,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,"Sadece bakın, zorunlu değil",,عالية,T1 T5,no
TR007,A جذب,منتج,جديد وصل اليوم,tr,Yeni geldi!,وصل جديد,,ييني گلدي,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,نداء بالحداثة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR008,C مخاطبة,رجل شعبي,يا أخوي,tr,Abi,يا أخوي,أخ كبير,آبي,تركيا,عام,,شعبي,رجل,رجل,الجميع,مخاطبة رجل في السوق,ودود,شعبي,منخفضة,🔥 شائعة جدًا,لغريب في pazar. في Boutique: Beyefendi.,,,,عالية,T1 T2,no
TR009,C مخاطبة,رجل مهذب,يا أستاذ,tr,Beyefendi,يا سيدي,,بي أفندي,تركيا,عام,,محترم وودود,الجميع,رجل,الجميع,مخاطبة مهذبة لرجل,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,Efendim,,عالية,T5,no
TR010,C مخاطبة,امرأة مهذبة,يا أستاذة,tr,Hanımefendi,يا سيدتي,,هانِم أفندي,تركيا,عام,,محترم وودود,الجميع,امرأة,الجميع,مخاطبة مهذبة لامرأة,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,Hanım,,عالية,T5,no
TR011,C مخاطبة,امرأة يومية,يا أختي,tr,Abla,يا أختي,أخت كبيرة,آبلا,تركيا,عام,,شعبي,الجميع,امرأة,الجميع,سوق شعبي لامرأة,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,T1,no
TR012,C مخاطبة,كبير سن,يا عم,tr,Amca,يا عم,,آمجه,تركيا,عام,,محترم وودود,الجميع,رجل,كبار,رجل أكبر سنًا,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,Teyze للنساء,,عالية,T5,no
TR013,D اكتشاف,تفرج أم طلب,بتدور على شيء ولا بتتفرج؟,tr,"Bakınıyor musunuz, yoksa bir şey mi arıyorsunuz?",بتتفرج ولا تدور على شيء؟,,باقِنِيور موسونوز يوكسا بير شيء مي آرِيورسونوز,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,فتح حديث بعد الترحيب,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR014,D اكتشاف,بس أتفرج,خذ راحتك أنا موجود,tr,"Tabii, rahatınıza bakın",أكيد، خذ راحتك,,طابي، راهاتِنِزا باقِن,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,رد على المتفرج,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T1 T5,no
TR015,E عرض,تقديم,شوف هذا,tr,Şuna bir bakın,شوف هذا,,شونا بير باقِن,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,عرض منتج,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR016,E عرض,جودة,شغل نظيف / خامة ممتازة,tr,Kaliteli mal,بضاعة جودة,,كاليتلي مال,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,مدح المنتج,ودود,شعبي,منخفضة,🔥 شائعة جدًا,mal هنا = بضاعة محايدة في السوق.,,,,عالية,T1,no
TR017,E عرض,أصلي,هذا أصلي,tr,Hakiki / orijinal,أصلي / حقيقي,,هاكيقي / أوريجينال,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,تمييز عن التقليد,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T1,no
TR018,E عرض,يليق,هذا على ذوقك / يليق عليك,tr,Size yakışır,يليق عليك,,سِزه ياقيشير,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,مجاملة المنتج,ودود,محترم وودود,منخفضة,⭐ شائعة,مع النساء بنبرة مهنية لا غزل.,,,,عالية,T5,no
TR019,E عرض,طلب,عليه طلب,tr,Bu çok satıyor,هذا ينباع كثير,,بو چوك ساتِيور,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,إثبات اجتماعي,ودود,شعبي,منخفضة,⭐ شائعة,,,Çok soruyorlar bunu,,عالية,T5,no
TR020,H سعر,سؤال الزبون,بكم هذا؟,tr,Bu ne kadar?,بكم هذا؟,,بو نه قدَر,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,سؤال سعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Kaç lira?|Kaça?,,عالية,T1,no
TR021,H سعر,آخر سعر,آخر سعر,tr,Son fiyat,آخر سعر,,سون فيات,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,إغلاق تفاوض,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,En son bu|Bunun altına inemem,,عالية,T1,no
TR022,H سعر,ثابت,السعر ثابت,tr,Fiyatımız net,سعرنا ثابت,,فياتِمِز نِت,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,محل حديث / ماركة,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,Pazarlık yok,,عالية,T5,no
TR023,H خصم,شخصي,عشانك نضبطها,tr,Size özel bir fiyat vereyim,أعطيك سعرًا خاصًا,,سِزه أوزيل بير فيات فيرييم,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,خصم شخصي,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T1 T5,no
TR024,H تفاوض,كمية,إذا أخذت اثنين,tr,İki alırsanız indirim yaparım,إذا أخذت اثنين أنزّل,,إيكي آلِرسانِز إنديريم ياپارِم,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,خصم مشروط,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T1,no
TR025,H تفاوض,خسارة,والله ما أقدر,tr,Zararına veriyorum,ببيعها بخسارة,,زارارِنا فيريوروم,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,رفض نزول إضافي,ودود,شعبي,منخفضة,⭐ شائعة,مبالغة سوقية لا تُؤخذ حرفيًا.,,Bunun altına inemem,,عالية,T5,no
TR026,H تفاوض,اتفاق,اتفقنا,tr,Anlaştık,اتفقنا,,أنلاشتِك,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,إغلاق المساومة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T1,no
TR027,G اعتراض,غالي,غالي؟ شوف الجودة,tr,"Pahalı değil, kaliteli",مو غالي، جودته عالية,,پاهالِ دييل، كاليتلي,تركيا,عام,,شعبي,الجميع,الجميع,الجميع,رد على pahalı,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,T1,no
TR028,G اعتراض,بديل,عندي خيار أرخص,tr,Daha uygun bir model göstereyim,أوريك موديل أنسب,,داها أويغون بير موديل گوسترييم,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,تحويل الاعتراض,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR029,I إغلاق,تغليف,نغلفها لك؟,tr,Paketleyeyim mi?,أغلفها لك؟,,پاكتليييم مي,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,إغلاق ناعم,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,no
TR030,K وداع,دعوة عودة,ننتظرك / حياك مرة ثانية,tr,Yine bekleriz,ننتظرك مرة ثانية,,يينه بكلريز,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,توديع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T3 T5,no
TR031,K وداع,بركة استخدام,(لا مقابل مباشر بنفس الشيوع),tr,Güle güle kullanın,استعملها وأنت فرحان,استخدم بضحكات,گوله گوله قوللانِن,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,بعد إتمام البيع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,yes
TR032,K وداع,بركة شراء,(لا مقابل مباشر),tr,Hayırlı olsun,مبروك الشراء / بالبركة,,هايرلِ أولسون,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,بعد الشراء,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,T5,yes
TR033,K وداع,دعاء للبائع,يعطيك العافية (قريب لا مطابق),tr,Kolay gelsin,تيسيرًا لشغلك,فليأتِ سهلًا,كولاي گِلسين,تركيا,عام,,محترم وودود,الجميع,الجميع,الجميع,يقوله الزبون للبائع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,من أشهر العبارات التركية بلا نظير عربي بنفس التواتر.,,,,عالية,T2 T3,yes
