id,phrase,msa,country,dialect,situation,addressee,formality,familiarity,humor,frequency,notes
J001,يا أستاذ، لحظة,يا سيدي، تفضل لحظة,مشتركة,عربية مشتركة,جذب من الشارع,رجل,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,أكثر نداء أمانًا للرجال في كل الدول
J002,يا أخوي، تعال شوف,يا أخي، تعال وانظر,خليج/شام,خليجية/شامية,جذب,رجل,شعبي,متوسطة,لا,🔥 شائعة جدًا,آمن جدًا؛ لا تُقال لامرأة
J003,يا معلم، شوف هنا,يا أستاذ، انظر هنا,مصر/شام,مصرية/شامية,جذب,رجل,شعبي,متوسطة,لا,🔥 شائعة جدًا,تكريم للحرفي والمحترم
J004,يا عم، بس شوف,يا عم، انظر فقط,مصر/شام,مصرية/شامية,جذب,رجل أكبر,شعبي,متوسطة,لا,🔥 شائعة جدًا,لا تقال لشاب صغير
J005,يا بيه/يا باشا، استنى لحظة,سيدي، انتظر لحظة,مصر,مصرية,جذب,رجل,محترم وودود,منخفضة,لا,🔥 شائعة جدًا,من ألقاب الاحترام المصرية
J006,يا شيخ، عندي لك شيء,يا سيدي المحترم، عندي لك شيء,خليج/يمن,خليجية/يمنية,جذب,رجل كبير,شعبي,متوسطة,لا,⭐ شائعة,في مصر تُفهم للرجل الديني فقط
J007,يا حجي، تعال بس,يا سيدي، تعال فقط,عراق,عراقية,جذب,رجل,شعبي,متوسطة,لا,🔥 شائعة جدًا,لقب احترام عراقي لكل رجل
J008,يا خويا، شوف هادشي,يا أخي، انظر إلى هذا,مغرب/جزائر/تونس,مغاربية,جذب,رجل,شعبي,عالية,لا,🔥 شائعة جدًا,أكثر نداء مألوف في المغرب العربي
J009,يا زول، تعال هنا,يا رجل، تعال هنا,سودان,سودانية,جذب,رجل,شعبي,عالية,لا,⭐ شائعة,نداء الود السوداني
J010,يا طويل العمر، شوف,يا من أطال الله عمره، انظر,شام/مصر/خليج,مشتركة,جذب,رجل,محترم وودود,متوسطة,لا,⭐ شائعة,ممتازة مع الكبار
J011,بس شوف، ما بتخسر شيء,انظر فقط، لن تخسر شيئًا,مشتركة,عربية مشتركة,جذب بلا التزام,الجميع,شعبي,منخفضة,لا,🔥 شائعة جدًا,أقوى أداة جذب: مشاهد مجانية
